"[""L'affinage Cheese&wine"", '598dbd29f5e9d73b73c395f6']"
"['Familia Wok & Pasta', '53765aa2498e9c99594b7042']"
"['Moyogi Lviv', '590efc75a423623a3e5b50e3']"
"['Cat Cafe', '55661d1c498ee40d7200582d']"
"['Гасова лямпа / Gas Lamp (Гасова Лямпа)', '4c17a5b3368220a12baf3657']"
"['Шашличний Двір', '4f805b42e4b00d7481a1cecd']"
"['ALLin lounge', '578542df498e9f8dc0a24d9f']"
"['Purple Lounge', '59b1a99b2e2680501951f5fb']"
"['№44 Tart Flambe & Bar', '5676f6b4498eed25e5f3fbde']"
"['Бар-крамниця «Букет вина»', '503b7abae4b0105c0f6d5e77']"
"['Дім Легенд (Дім легенд)', '4c1c9bf263750f47d3d0b667']"
"['Правда. Beer Theatre', '548879b1498ec247630387ff']"
"[""L'apéro"", '596125096e465003932c47ad']"
"['BBQ', '558ee1db498e6019f8d665ad']"
"['Хоспер-паб «Когут»', '5415d4df498eb7150f9dfb1d']"
"['Black Bison Pub', '57e1734d498ec3653ccf8dbd']"
"['Park. Art Of Rest', '5a19b993356b4976e6393ff4']"
"['!FESTrepublic', '55818bf4498e83a40bd61002']"
"['Залізна шапка', '566481d6498e16a3d956fb15']"
"['Rafinad People Club', '4c193ef46a21c9b66742ca97']"
"['Данте', '56d87b06498e58884c53cee2']"
"['Найдорожча ресторація Галичини', '4bd734a00b779c74b9a704a0']"
"['Lawson Pub', '5933d3bbb8fd9d08eb495e5b']"
"['Дзиґа', '4bc5739a4a9aa593bc86067b']"
"['47 ПАБ', '555c9297498e86f0d88c5f5f']"
"['Старгород', '4d261725a813224ba803efb1']"
"['Ginger Mixology Lab', '591c80ce4aa3f835d91a5868']"
"[""П'яна вишня"", '57498891cd10af189d2d7cf3']"
"['Залізко', '5953f122f2905e41ff3941d1']"
"['Бар-крамниця «Букет вина»', '4d1f7fc35acaa35d9f58c035']"
"[""Хмільний дім Роберта Домса / Robert Doms' Humulus House (Хмільний дім Роберта Домса)"", '4c61950a95e076b07f78c656']"
"['Пошта на Друкарській', '5280e759498e4c2afc4e7bd2']"
"['The Grill', '4d8f5ae65091a1cd94eea301']"
"['Vinoteca Praha Wok & Wine', '59d1323c42d8c201a67ca37a']"
"['Grimerka Malevich', '5a3c367312f0a962473533b9']"
"['MIDNIGHT cocktail  bar', '57f570a2498e1ce6d80b5dc9']"
"['Ganok', '578f7f9e38fa479c9485906c']"
"['Купіца / Kupitsa (Купіца)', '53287020498e1a9800b0947f']"
"['Dr.Ink', '5a316ff660d11b58b2443a42']"
"['Beer House', '58c7118815fb436f7b05930b']"
"['Антрекот - grill & lounge', '59a686a835d3fc3958492149']"
"['Skotyna (Скотина)', '5a67547eaa6c9551407302a8']"
"['Del Corso', '54932e6f498e23fac595ba59']"
"['De Luxe Cafe', '521e294311d29a7d0c3a1729']"
"['Снукер', '5082fdfae4b0a74e52aee776']"
"['Бар Супутник', '4f4136a8e4b0f96036b79793']"
"['Вежа', '59b19419b54618784f0bba3c']"
"['Акваріус', '50e14227e4b08361cc687ce2']"
"['The Game', '558dbc9b498ee92de0c90b29']"
"['Пивниця', '50eb1d84e4b0a168c0c7cb96']"
"['Галактика', '4cd0b3865b5ca35da4a47df0']"
"['""Billiard city""', '50bb65d3e4b0ecc0b07dd6c5']"
"['Lviv Airport Lounge', '500f676be4b0c06369b6fb63']"
"['Гульвіса', '4f60f822e4b07ccaa4fc2f07']"
"['Світ Кави / World of Coffee Roastery & Café', '521df263498ee194c9fce826']"
"['Perfetto', '595e143935d3fc3e629c80b4']"
"['Львiвська Кава', '4f9fec4de4b0f948545d91ee']"
"['Terrace/Swiss hotel', '51ebe705498e48e072689eac']"
"['Centaur', '4c584837d12a20a1829c68bd']"
"['Під Синьою Фляжкою (Під синьою фляжкою)', '4c669b089cb82d7f10f690d2']"
"['Cat Cafe', '55661d1c498ee40d7200582d']"
"['Львівська мануфактура кави', '55ec87b5498e815d5ea4459e']"
"['WineHouse', '53a17ad7498e019a7875f264']"
"['Квартира 35', '4dc10493ffcb3c17264b2870']"
"['Kupol / Купол', '4d77fb7e0fdb59415a22b3f0']"
"['kaVa.coffee•sandwiches', '5a966d79be70781d2ee4d1bd']"
"['Mollis Coffee', '578386dc498e545ac090a77a']"
"['Aroma Kava', '56efefdf498ef048799a9e17']"
"['Лігумінка / Liguminka (Лігумінка)', '4f73219fe4b0b7ca3b1f0111']"
"['Blackwood Coffee', '543e4d53498eeba07a34ffc1']"
"['Humdrum Cafe', '5926246facb00b47b57b7369']"
"['Time for coffee', '564b0310498e2a88158c61b8']"
"['Альтернативна кава / Alternative Coffee', '58590271076be101c49ffac3']"
"['Меделін / Medelin', '4e31742b88775a302cf59b24']"
"['Рудий Кіт', '4f01d41629c201c6ff279ee8']"
